ID      	HW - 1	HW - 2	HW - 3	HW - 4	HW - 5	HW - 6	HW - 7	HW - 8
120709B02	0	0	0	0	0	0	0	0
130709016	20	0	0	0	0	0	0	0
130709039	0	0	0	0	0	0	0	0
130709046	0	0	0	0	0	0	0	0
140709001	95	40	0	30	70	70	0	0
140709002	80	35	5	0	0	0	0	0
140709004	0	0	0	0	0	0	0	0
140709012	95	35	0	0	0	0	0	0
140709014	20	60	0	0	0	0	0	0
140709019	100	30	30	20	100	0	0	0
140709021	0	35	5	0	0	0	0	0
140709022	0	0	0	0	0	0	0	0
140709023	20	0	5	0	0	0	0	0
140709025	70	30	25	20	100	95	90	100
140709026	0	0	0	0	0	0	0	0
140709028	30	0	5	0	5	0	0	0
140709029	0	0	0	0	0	0	0	0
140709030	0	35	0	0	0	0	0	0
140709033	20	30	0	0	30	100	30	70
140709034	90	30	50	70	5	80	0	0
140709036	0	0	0	0	0	0	0	0
140709038	0	0	0	0	0	0	0	0
140709051	100	0	0	20	100	0	0	0
150709001	0	0	0	0	0	0	0	0
150709002	50	60	0	0	0	0	0	0
150709004	0	0	0	0	0	0	0	0
150709005	0	0	0	0	0	0	0	0
150709007	95	95	50	100	80	95	100	110
150709008	95	110	100	100	100	100	100	110
150709010	95	95	95	50	100	95	100	80
150709012	90	0	0	0	0	0	0	0
150709013	100	0	30	80	100	100	90	110
150709014	95	45	50	50	85	90	100	100
150709015	0	0	0	0	0	0	0	0
150709016	75	60	30	80	100	95	95	70
150709017	0	0	70	70	0	95	0	0
150709018	60	0	0	0	0	0	0	0
150709019	0	0	0	80	100	0	0	0
150709021	95	95	90	90	100	95	0	0
150709022	0	0	0	0	0	0	0	0
150709023	95	40	10	30	70	70	50	0
150709024	0	0	0	0	0	0	0	0
150709025	70	100	100	100	100	100	100	110
150709027	100	80	40	80	100	95	90	110
150709028	0	0	0	0	0	0	0	0
150709029	70	0	0	0	0	0	0	0
150709030	95	75	65	70	30	90	100	15
150709031	50	60	0	0	0	0	0	0
150709032	100	0	0	0	0	95	10	5
150709034	60	0	0	0	0	0	0	0
150709035	95	75	85	0	0	0	0	0
150709036	0	0	0	0	0	0	0	0
150709038	50	0	0	0	0	0	0	0
150709039	75	90	90	90	70	85	10	10
150709044	30	0	0	0	0	0	0	0
150709049	80	5	0	0	0	30	0	0
150709051	30	0	0	0	5	0	0	0
150709056	100	0	0	0	5	0	0	0
160211054	0	0	0	0	0	0	0	0
160709011	50	5	0	0	0	0	0	0
160709041	20	45	5	0	5	30	10	15
160709051	100	40	70	0	0	0	0	0
160709058	0	20	0	30	50	30	10	0
160709065	95	40	0	0	0	0	0	0
340709004	0	0	0	0	0	0	0	0
350709004	100	100	10	0	0	0	0	0
350709050	80	30	5	0	50	80	0	0
360709001	0	0	0	0	0	0	0	0
360709065	0	0	0	0	0	0	0	0
360709066	95	5	0	20	0	70	0	0
